Temperature (C),Humidity,Wind Speed (km/h)
17.516666666666666,0.67,0.6762
17.383333333333333,0.67,3.864
17.36111111111111,0.71,7.824600000000001
17.205555555555556,0.74,15.5848
15.633333333333333,0.81,23.6992
13.577777777777776,0.9,20.9622
10.911111111111111,0.86,22.395100000000003
8.800000000000002,0.99,26.5006
8.961111111111112,0.93,23.2162
8.199999999999998,0.96,25.4219
7.688888888888891,0.96,28.1267
7.766666666666664,0.96,19.2878
8.199999999999998,0.96,20.447
8.177777777777777,0.93,27.8691
7.311111111111109,0.82,6.745900000000001
7.644444444444442,0.93,14.9086
6.622222222222224,0.93,25.035500000000003
6.683333333333334,0.93,19.8352
6.0888888888888895,0.93,28.0945
6.066666666666667,0.93,27.9818
6.144444444444446,0.93,30.863700000000005
7.133333333333336,0.8,32.1678
7.205555555555555,0.86,26.5328
7.566666666666666,0.84,28.33600000000001
8.900000000000002,0.77,29.833300000000005
9.961111111111112,0.71,28.480900000000005
9.888888888888888,0.71,28.5131
11.066666666666668,0.71,25.6956
10.116666666666667,0.76,25.3414
11.038888888888888,0.66,21.413000000000004
10.65,0.7,17.8549
10.050000000000002,0.7,15.1984
9.9,0.66,15.7297
8.794444444444444,0.71,12.3648
7.827777777777779,0.72,13.894300000000005
7.855555555555556,0.72,9.8049
7.316666666666667,0.75,6.6654
7.244444444444444,0.75,7.1162
5.438888888888888,0.88,3.719100000000001
7.200000000000001,0.76,14.4739
6.688888888888888,0.7,20.5275
6.211111111111111,0.73,19.3039
6.111111111111111,0.76,17.436300000000003
6.111111111111111,0.76,20.4148
6.172222222222222,0.76,17.0499
7.222222222222222,0.71,20.5114
7.288888888888888,0.73,17.6456
7.405555555555555,0.72,14.4095
7.96111111111111,0.7,10.7548
8.033333333333335,0.7,4.8622000000000005
9.07777777777778,0.65,2.3828
9.05,0.62,0.322
9.05,0.65,3.2522
9.183333333333334,0.65,3.0107000000000004
9.07222222222222,0.7,10.465
7.983333333333332,0.75,7.3416
8.072222222222223,0.75,9.5151
7.894444444444446,0.82,9.9981
7.311111111111109,0.83,13.685
7.33888888888889,0.84,11.5437
6.622222222222224,0.85,12.719
6.066666666666667,0.88,12.8961
8.338888888888887,0.88,0.6923
5.183333333333333,0.91,5.5384
3.722222222222224,0.94,5.2003
4.855555555555557,0.93,5.618900000000001
5.211111111111112,0.92,4.7656
6.255555555555555,0.92,7.921200000000001
7.794444444444445,0.87,9.7566
10.050000000000002,0.76,9.6922
12.2,0.66,14.49
12.7,0.63,20.3343
13.933333333333332,0.58,23.5865
15.094444444444449,0.59,22.2985
15.150000000000002,0.5,14.715400000000002
16.177777777777777,0.44,14.49
16.25,0.55,14.715400000000002
16.29444444444444,0.5,19.5937
16.099999999999998,0.56,14.828100000000004
12.955555555555556,0.68,11.9784
13.85,0.64,11.5598
12.77777777777778,0.69,14.2485
12.15,0.72,11.253900000000002
10.677777777777775,0.81,5.7799000000000005
10.444444444444445,0.83,2.6404
9.822222222222225,0.8,5.313
11.02777777777778,0.74,11.382700000000002
7.138888888888889,0.93,3.6547
7.622222222222222,0.89,10.8675
7.627777777777775,0.86,6.5205
7.044444444444444,0.86,11.3988
8.599999999999998,0.84,9.66
9.65,0.84,15.955100000000002
12.105555555555554,0.72,13.1698
12.77777777777778,0.71,13.1698
13.81111111111111,0.65,9.6761
16.016666666666666,0.48,11.237800000000002
17.127777777777776,0.47,12.7029
17.144444444444446,0.43,10.6099
17.77777777777778,0.4,7.953400000000001
17.77777777777778,0.37,2.5921000000000003
17.805555555555557,0.43,11.0124
16.15555555555555,0.52,9.1931
14.05,0.63,9.160900000000002
13.08888888888889,0.67,9.2736
12.288888888888888,0.72,9.4507
12.77777777777778,0.66,11.0768
12.727777777777776,0.67,13.3791
12.266666666666666,0.69,14.1358
11.71111111111111,0.71,11.3183
10.82777777777778,0.86,9.177
12.2,0.59,14.168000000000005
12.2,0.6,14.296800000000005
11.688888888888888,0.68,13.8299
11.205555555555556,0.77,14.007
11.133333333333333,0.77,15.4882
11.43888888888889,0.77,13.8782
13.033333333333337,0.81,14.457800000000002
17.244444444444444,0.62,25.0194
17.73888888888889,0.53,27.37
17.84444444444445,0.56,22.218000000000004
18.86111111111111,0.56,23.5382
18.666666666666664,0.56,19.8996
17.82222222222222,0.56,17.5007
17.800000000000004,0.59,17.693900000000003
17.349999999999998,0.57,19.5615
16.06666666666667,0.67,21.815500000000004
14.933333333333334,0.73,17.2753
13.922222222222224,0.78,11.7691
12.755555555555556,0.84,11.0446
12.755555555555556,0.84,11.0607
12.372222222222224,0.86,7.293300000000001
11.183333333333334,0.93,6.923
11.666666666666666,0.9,11.1734
8.977777777777776,0.95,10.3201
10.577777777777776,0.93,11.1734
10.533333333333337,0.89,14.007
10.58888888888889,0.87,7.293300000000001
9.983333333333333,0.89,6.7298
11.022222222222224,0.86,7.889000000000001
13.538888888888888,0.75,11.8657
13.88888888888889,0.68,20.0123
15.0,0.67,17.581200000000003
17.183333333333334,0.57,15.955100000000002
16.2,0.62,16.309300000000004
17.75,0.56,17.7744
18.40555555555555,0.54,19.0785
17.82222222222222,0.59,17.5973
17.31111111111111,0.57,20.3343
17.505555555555553,0.55,13.7172
17.266666666666666,0.54,14.3773
15.13888888888889,0.61,10.8997
13.25,0.69,4.717300000000001
12.294444444444444,0.72,4.6690000000000005
